user_id,age_group,gender,city,state,subscription_plan,signup_date,total_sessions,total_watch_minutes,avg_watch_minutes_per_session,completed_sessions
U1001,26-35,Male,Delhi,Delhi,Free,2025-12-06,21,969,46.14,13
U1002,18-25,Female,Chennai,Tamil Nadu,VIP,2025-06-09,7,210,30.0,5
U1003,18-25,Male,Chennai,Tamil Nadu,Free,2025-07-21,12,372,31.0,6
U1004,26-35,Female,Bengaluru,Karnataka,Free,2025-08-11,8,536,67.0,4
U1005,36-45,Male,Pune,Maharashtra,VIP,2025-08-27,11,630,57.27,6
U1006,18-25,Male,Pune,Maharashtra,Free,2025-09-06,28,1026,36.64,10
U1007,18-25,Female,Hyderabad,Telangana,Premium,2025-12-04,2,90,45.0,1
U1008,26-35,Male,Lucknow,Uttar Pradesh,Free,2025-08-15,7,180,25.71,2
U1009,36-45,Female,Ahmedabad,Gujarat,VIP,2025-11-28,6,311,51.83,5
U1010,18-25,Female,Pune,Maharashtra,Premium,2026-01-05,6,295,49.17,5
U1011,18-25,Male,Delhi,Delhi,VIP,2025-09-02,24,1228,51.17,16
U1012,18-25,Male,Hyderabad,Telangana,VIP,2025-11-22,23,955,41.52,11
U1013,26-35,Female,Mumbai,Maharashtra,VIP,2025-07-12,6,289,48.17,5
U1014,26-35,Male,Lucknow,Uttar Pradesh,VIP,2025-07-27,5,165,33.0,3
U1015,26-35,Female,Pune,Maharashtra,Free,2025-06-09,27,886,32.81,10
U1016,36-45,Male,Mumbai,Maharashtra,Premium,2025-10-24,12,495,41.25,8
U1017,36-45,Male,Hyderabad,Telangana,Free,2026-01-21,12,374,31.17,5
U1018,26-35,Male,Mumbai,Maharashtra,VIP,2025-10-16,3,127,42.33,1
U1019,18-25,Female,Jaipur,Rajasthan,Free,2025-07-27,12,329,27.42,5
U1020,46+,Male,Chennai,Tamil Nadu,VIP,2026-01-07,2,84,42.0,2
U1021,18-25,Female,Pune,Maharashtra,Free,2025-06-17,22,599,27.23,5
U1022,18-25,Female,Bengaluru,Karnataka,Free,2025-10-20,12,614,51.17,7
U1023,36-45,Male,Kolkata,West Bengal,VIP,2025-10-16,27,1129,41.81,14
U1024,36-45,Female,Bengaluru,Karnataka,Free,2025-07-11,11,299,27.18,4
U1025,26-35,Female,Jaipur,Rajasthan,Free,2025-10-07,4,49,12.25,0
U1026,36-45,Male,Mumbai,Maharashtra,VIP,2026-01-02,6,137,22.83,1
U1027,26-35,Female,Mumbai,Maharashtra,VIP,2025-10-17,7,250,35.71,4
U1028,46+,Female,Lucknow,Uttar Pradesh,VIP,2025-10-04,25,1072,42.88,14
U1029,18-25,Female,Jaipur,Rajasthan,Premium,2025-08-18,4,110,27.5,1
U1030,18-25,Male,Chennai,Tamil Nadu,Free,2025-12-05,20,892,44.6,9
U1031,26-35,Male,Pune,Maharashtra,VIP,2025-07-03,4,78,19.5,2
U1032,26-35,Female,Mumbai,Maharashtra,VIP,2025-11-03,3,46,15.33,1
U1033,26-35,Male,Chennai,Tamil Nadu,VIP,2025-07-22,16,725,45.31,6
U1034,26-35,Male,Hyderabad,Telangana,Free,2026-01-17,17,853,50.18,8
U1035,26-35,Male,Delhi,Delhi,Free,2025-10-29,8,285,35.63,3
U1036,26-35,Female,Mumbai,Maharashtra,VIP,2025-06-16,7,343,49.0,4
U1037,18-25,Female,Ahmedabad,Gujarat,Free,2025-07-31,7,224,32.0,1
U1038,18-25,Male,Chennai,Tamil Nadu,VIP,2026-01-12,26,919,35.35,12
U1039,26-35,Male,Pune,Maharashtra,Premium,2025-07-19,4,186,46.5,3
U1040,18-25,Female,Bengaluru,Karnataka,Free,2026-01-08,15,496,33.07,6
U1041,26-35,Female,Patna,Bihar,Free,2025-09-12,17,902,53.06,11
U1042,26-35,Female,Mumbai,Maharashtra,Free,2025-10-16,6,262,43.67,3
U1043,26-35,Male,Delhi,Delhi,Free,2026-01-23,16,458,28.63,7
U1044,18-25,Female,Ahmedabad,Gujarat,Free,2025-11-14,10,473,47.3,5
U1045,46+,Female,Kochi,Kerala,Premium,2026-01-04,5,243,48.6,3
U1046,18-25,Male,Chennai,Tamil Nadu,Premium,2026-01-18,5,312,62.4,3
U1047,18-25,Male,Patna,Bihar,Free,2025-12-18,4,121,30.25,2
