event_id,user_id,content_id,event_type,event_date,device,watch_duration,completed,age_group,gender,city,state,subscription_plan,content_title,content_type,genre,language,content_duration
E10001,U1391,C101,complete,2026-02-13,Web,40,1,46+,Other,Pune,Maharashtra,VIP,IND vs AUS T20 Cup Highlights,Sports,Sports,Hindi,45
E10002,U1567,C115,complete,2026-01-14,Smart TV,37,1,18-25,Female,Chennai,Tamil Nadu,Free,Bengal Courtroom Secrets,Series,Drama,Bengali,40
E10003,U1674,C111,pause,2026-01-13,Web,13,0,26-35,Male,Chennai,Tamil Nadu,Free,Yeh Rishta: Family Bonds,Show,Drama,Hindi,22
E10004,U1166,C109,complete,2026-02-23,Mobile,44,1,36-45,Male,Mumbai,Maharashtra,Free,Special Ops: Desert Falcon,Series,Drama,Hindi,45
E10005,U1466,C106,play,2026-02-09,Mobile,25,0,36-45,Male,Ahmedabad,Gujarat,Free,WPL T20 Blockbuster Match,Sports,Sports,Hindi,60
E10006,U1005,C144,pause,2026-02-27,Tablet,15,0,36-45,Male,Pune,Maharashtra,VIP,Koffee Spotlight Lounge,Show,Reality,English,45
E10007,U1742,C146,play,2026-01-18,Web,50,0,18-25,Male,Mumbai,Maharashtra,VIP,Motu Patlu Space Adventure,Movie,Kids,Hindi,75
E10008,U1301,C139,play,2026-01-03,Mobile,17,0,36-45,Female,Mumbai,Maharashtra,Premium,Bigg Boss Telugu Live,Show,Reality,Telugu,60
E10009,U1380,C117,complete,2026-02-14,Smart TV,23,1,26-35,Female,Kolkata,West Bengal,VIP,Ghar Ek Mandir Classic,Show,Drama,Marathi,24
E10010,U1391,C113,pause,2026-01-24,Mobile,37,0,46+,Other,Pune,Maharashtra,VIP,Kaithi Revenge Chronicles,Movie,Drama,Tamil,140
E10011,U1465,C110,complete,2026-02-09,Mobile,23,1,26-35,Female,Mumbai,Maharashtra,Premium,Anupama: New Beginnings,Show,Drama,Hindi,25
E10012,U1256,C107,pause,2026-01-26,Mobile,18,0,26-35,Male,Hyderabad,Telangana,Free,Champions Trophy Pre-Show,Sports,Sports,Telugu,40
E10013,U1204,C107,pause,2026-01-18,Mobile,7,0,26-35,Female,Hyderabad,Telangana,Premium,Champions Trophy Pre-Show,Sports,Sports,Telugu,40
E10014,U1608,C127,complete,2026-02-17,Web,29,1,26-35,Female,Kolkata,West Bengal,Free,Pune Pun Factory,Show,Comedy,Marathi,30
E10015,U1102,C141,play,2026-02-03,Mobile,31,0,36-45,Male,Delhi,Delhi,Free,Shark Pitch India S4,Show,Reality,Hindi,55
E10016,U1405,C113,complete,2026-01-04,Mobile,138,1,18-25,Male,Lucknow,Uttar Pradesh,Premium,Kaithi Revenge Chronicles,Movie,Drama,Tamil,140
E10017,U1301,C136,pause,2026-01-29,Mobile,37,0,36-45,Female,Mumbai,Maharashtra,Premium,Speed Street Heist,Movie,Action,English,120
E10018,U1565,C110,pause,2026-01-27,Mobile,12,0,26-35,Male,Hyderabad,Telangana,VIP,Anupama: New Beginnings,Show,Drama,Hindi,25
